index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,run_iteration,model_verdict,model_reasoning
1,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.10 bar.,0.15 bar,Rule A,Value is 0.15. 0.15 > 0.10.,1,UNSAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a pattern of a repeating texture (a repeating pattern of a stylized animal face). Q2:  Evaluation: No Q3:  Final Verdict: SAFE,2,SAFE,Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a pattern of a repeating texture (a repeating pattern of a stylized animal face). Q2:  Evaluation: No Q3:
2,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.20 bar.,0.15 bar,Rule B,Value is 0.15. 0.15 < 0.20.,1,SAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a repeating pattern of a ""pimpilla"" texture. Q2:  Evaluation: No Q3:  Final Verdict: SAFE",2,SAFE,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a repeating pattern of a ""pimpilla"" texture. Q2:  Evaluation: No Q3:"
3,guage (10).jpg,guage,,0,bar,Alert if pressure is above 0.05 bar.,0 bar,Rule A,Value is 0. 0 < 0.05.,0,SAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,Q1: 0.05 bar Q2: No Q3: SAFE,2,SAFE,Q1: 0.05 bar Q2: No Q3: SAFE
4,guage (10).jpg,guage,,0,bar,Alert if system is non-pressurized (0 bar).,0 bar,Rule B,Value is 0. System is non-pressurized.,0,UNSAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,Q1: 0 bar Q2: Yes Q3: UNSAFE,2,UNSAFE,Q1: 0 bar Q2: Yes Q3: UNSAFE
5,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 20 kPa. Alert if over.,25 kPa,Rule A,Value is 25. 25 > 20.,1,UNSAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"Q1: Observation: The image is a mostly gray background with some faint, small, scattered pixelated elements that resemble a distorted or low-resolution image, not showing any clear measurement of pressure.  Q2:  Evaluation: No  Q3:  Final Verdict: SAFE",2,SAFE,"Q1: Observation: The image is a mostly gray background with some faint, small, scattered pixelated elements that resemble a distorted or low-resolution image, not showing any clear measurement of pressure.  Q2:  Evaluation: No  Q3:"
6,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 30 kPa. Alert if over.,25 kPa,Rule B,Value is 25. 25 < 30.,1,SAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"Q1: Observation: No numeric reading or visible physical condition related to pressure (kPa) is discernible in the image. The image is a mostly gray background with some faint, small, scattered elements that resemble a watermark or texture, but none of these elements represent a measurable safety parameter.  Q2:  Evaluation: No  Q3:  Final Verdict: SAFE",2,SAFE,"Q1: Observation: No numeric reading or visible physical condition related to pressure (kPa) is discernible in the image. The image is a mostly gray background with some faint, small, scattered elements that resemble a watermark or texture, but none of these elements represent a measurable safety parameter.  Q2:  Evaluation: No  Q3:"
7,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 80 NA.,100 NA,Rule A,Value is 100. 100 > 80.,1,UNSAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,Q1: 0 Q2: No Q3: SAFE,2,SAFE,Q1: 0 Q2: No Q3: SAFE
8,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 120 NA.,100 NA,Rule B,Value is 100. 100 < 120.,1,SAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,Q1: 0 Q2: No Q3: SAFE,2,SAFE,Q1: 0 Q2: No Q3: SAFE
9,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 1.5 bar. Alert if over.,2 bar,Rule A,Value is 2. 2 > 1.5.,1,UNSAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,Q1: 0.0 bar Q2: No Q3: SAFE,2,SAFE,Q1: 0.0 bar Q2: No Q3: SAFE
10,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 3.0 bar. Alert if over.,2 bar,Rule B,Value is 2. 2 < 3.0.,1,SAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,Q1: 3.0 bar Q2: No Q3: SAFE,2,SAFE,Q1: 3.0 bar Q2: No Q3: SAFE
